#options: 1918x956 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=30 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=900 vbv_bufsize=1600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:42.14 aq:28.07 tex:391722 mv:56074 misc:220 imb:7200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:43.12 aq:34.82 tex:1987 mv:167 misc:726 imb:9 pmb:52 smb:7139 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:43.71 aq:44.00 tex:2 mv:19 misc:395 imb:0 pmb:8 smb:7192 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:44.10 aq:45.00 tex:1 mv:5 misc:370 imb:0 pmb:2 smb:7198 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:44.10 aq:46.18 tex:129 mv:22 misc:385 imb:0 pmb:6 smb:7194 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:43.41 aq:31.23 tex:935 mv:82 misc:503 imb:6 pmb:18 smb:7176 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:42.54 aq:33.63 tex:2197 mv:212 misc:783 imb:16 pmb:58 smb:7126 d:- ref:0 ;
in:8 out:7 type:P dur:2 cpbdur:2 q:42.83 aq:32.48 tex:2842 mv:183 misc:735 imb:9 pmb:54 smb:7137 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:42.85 aq:45.05 tex:41 mv:24 misc:375 imb:0 pmb:3 smb:7197 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:43.04 aq:34.39 tex:1005 mv:133 misc:510 imb:12 pmb:15 smb:7173 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:43.17 aq:43.00 tex:0 mv:16 misc:384 imb:0 pmb:2 smb:7198 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:43.17 aq:45.00 tex:0 mv:0 misc:360 imb:0 pmb:0 smb:7200 d:t ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:43.17 aq:45.09 tex:117 mv:9 misc:370 imb:0 pmb:2 smb:7198 d:- ref:0 ;
